,报警时间,报警电话,证件类型,联系人电话,小型客车子类,当事人事故责任,当事人处罚情况,证件号码,姓名,城市,街道,GPS_X,GPS_Y,发生地点,普通路面类型,道路级别,路口,路段,斑马线,信号灯,证件号码合法性,户籍,年龄,电话归属地
444,2020-11-28 11:57:15,13516777836.0,身份证,15868878860,非营运,全部,已处罚,411700200007227606,王阳,淮安县,陆街,119.928489769175,30.067871572092,内部道路,nan,nan,nan,nan,nan,nan,合法,河南省,22,浙江
445,2020-11-28 11:56:14,18329100898.0,身份证,18329100898,非营运,无责,未发现违法行为,150524199910167742,刘鹏,玉华县,马鞍山路,119.588939783826,30.062094254882,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,内蒙古自治区,23,浙江
446,2020-11-28 11:55:40,13634141171.0,身份证,13107719966,nan,无责,未发现违法行为,513323198204097597,曹桂荣,南昌市,重庆街,120.028823931273,30.06469076951,普通路面,路段,乡/村道,nan,不在缺口上发生,否,nan,合法,四川省,40,浙江
447,2020-11-28 11:52:23,13588381274.0,身份证,13588381274,非营运,无责,未发现违法行为,511602199904135002,魏淑华,博县,西宁路,119.93768,30.14045,普通路面,路口,国道,T字路口,nan,否,有,合法,四川省,23,浙江
448,2020-11-28 11:35:43,13706518531.0,身份证,15968135068,nan,无责,未发现违法行为,321202199611123887,田鑫,海口县,西安路,nan,nan,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,江苏省,26,浙江
449,2020-11-28 11:28:13,17767257779.0,nan,nan,nan,nan,nan,230717201907213848,杨刚,重庆县,刘路,119.936746530892,30.062970997201,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,黑龙江省,3,未录入电话号码
450,2020-11-28 11:26:48,15958135845.0,身份证,15958135845,非营运,无责,未发现违法行为,130205195604252570,杨玉,六盘水市,郑街,119.957284196469,30.030608254303,普通路面,路口,乡/村道,十字路口,nan,否,无,合法,河北省,66,浙江
451,2020-11-28 11:13:42,15858221765.0,身份证,15858221765,非营运,无责,未发现违法行为,420625198807091447,赵秀英,六盘水市,柳州路,119.918598438339,30.059395133926,普通路面,路段,国道,nan,不在缺口上发生,否,无,合法,湖北省,34,浙江
452,2020-11-28 11:11:17,nan,身份证,18687301933,客运网约车,无责,未发现违法行为,510800198511018676,王杨,合肥市,哈尔滨街,119.865032,30.05719,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,四川省,37,云南
453,2020-11-28 11:10:39,13757155970.0,身份证,15869172955,非营运,无责,未发现违法行为,620722200206022781,罗燕,西宁县,郑州路,119.934493679974,30.023941574984,普通路面,路段,乡/村道,nan,不在缺口上发生,否,nan,合法,甘肃省,20,浙江
454,2020-11-28 11:07:54,15168665109.0,身份证,13967187534,非营运,全部,已处罚,220722199204249886,贺俊,深圳县,南昌街,nan,nan,内部道路,nan,nan,nan,nan,nan,nan,合法,吉林省,30,浙江
455,2020-11-28 11:02:36,18268866541.0,身份证,18268866541,非营运,主要,已处罚,220281199905187019,成桂花,婷婷市,高街,119.8296,30.02272,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,吉林省,23,浙江
456,2020-11-28 10:55:42,nan,身份证,13868147832,非营运,无责,待事故调查,110112199708195112,周秀华,六安市,杭州街,119.933139370044,30.070203333316,普通路面,路口,城市道路,不规则路口,nan,是,无,合法,北京市,25,浙江
457,2020-11-28 10:35:22,15869112530.0,身份证,15267102001,非营运,全部,已处罚,22240119711118220X,李洋,海门市,柳州街,119.8479,30.03008,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,吉林省,51,浙江
458,2020-11-28 10:34:20,13588397881.0,身份证,13757164153,非营运,nan,nan,530124198209163967,杨瑞,飞市,太原路,119.919649950457,30.046606216133,内部道路,nan,nan,nan,nan,nan,nan,合法,云南省,40,浙江
459,2020-11-28 10:18:57,13906813447.0,身份证,13906813447,nan,无责,未发现违法行为,520100195203137956,彭涛,佛山市,宁德路,119.88652,30.06885,普通路面,路口,城市道路,T字路口,nan,否,无,合法,贵州省,70,浙江
460,2020-11-28 10:01:34,15267110285.0,身份证,15267110285,非营运,nan,nan,451400200201025136,张丽,桂香市,王路,119.759393725572,30.026293382004,普通路面,路段,省道,nan,不在缺口上发生,否,无,合法,广西壮族自治区,20,浙江
461,2020-11-28 09:59:12,15005816986.0,身份证,15990153692,nan,全部,已处罚,350305200204171122,雷想,通辽县,侯街,nan,nan,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,福建省,20,浙江
462,2020-11-28 09:57:59,13735585765.0,身份证,13735585765,非营运,无责,未发现违法行为,330329198204033165,马帅,太原市,倪路,119.824795232087,29.921586067874,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,浙江省,40,浙江
463,2020-11-28 09:57:24,15236732555.0,身份证,15236732555,nan,无责,未发现违法行为,611025200108282598,王琴,长沙市,张街,120.003156941934,30.006722889118,内部道路,nan,nan,nan,nan,nan,nan,合法,陕西省,21,河南
464,2020-11-28 09:53:09,nan,身份证,13968176811,非营运,无责,未发现违法行为,141123200301045439,徐玲,霞县,巢湖街,119.762765001224,29.878545370841,普通路面,路口,城市道路,十字路口,nan,是,有,合法,山西省,19,浙江
465,2020-11-28 09:44:51,13968166333.0,身份证,13968166333,非营运,nan,nan,320324199110173125,姜建军,南宁县,六盘水路,119.944804815681,29.899023445021,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,江苏省,31,浙江
466,2020-11-28 09:44:08,17767260467.0,身份证,17767260467,非营运,无责,未发现违法行为,430623198604166081,吴宇,宁市,马街,120.137599234918,30.233987831725,普通路面,路段,乡/村道,nan,不在缺口上发生,否,nan,合法,湖南省,36,不合法的电话号码
467,2020-11-28 09:34:15,19883435981.0,身份证,19883435981,nan,无责,未发现违法行为,320305195101224018,兰兰英,秀珍市,六盘水路,nan,nan,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,江苏省,71,不合法的电话号码
468,2020-11-28 09:31:47,18001863272.0,身份证,18001863272,非营运,nan,nan,445222199112177246,吴英,拉萨市,蔡街,119.69335634559,29.996524736171,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,广东省,31,不合法的电话号码
469,2020-11-28 09:21:05,13386509471.0,身份证,13888185052,nan,同等,已处罚,410882199511194528,辛峰,太原市,佛山街,119.946383873196,30.053197348891,普通路面,路段,县道,nan,不在缺口上发生,否,无,合法,河南省,27,云南
470,2020-11-28 09:18:19,13372569606.0,身份证,13325919106,非营运,全部,已处罚,430525198912221115,陈晨,娟市,南昌街,119.748541771639,30.024965611067,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,湖南省,33,浙江
471,2020-11-28 09:00:16,13429136948.0,身份证,13429136948,nan,无责,未发现违法行为,451226200202087913,黄云,乌鲁木齐县,刘路,119.938691874916,30.059357659016,内部道路,nan,nan,nan,nan,nan,nan,合法,广西壮族自治区,20,浙江
472,2020-11-28 08:53:41,13336197182.0,身份证,13336197182,非营运,无责,未发现违法行为,654026200105268260,白波,张家港市,香港街,119.90461,30.04482,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,新疆维吾尔自治区,21,浙江
473,2020-11-28 08:43:52,15088740714.0,身份证,15088740714,非营运,无责,未发现违法行为,330304199212267815,孙玉华,嘉禾市,孙街,119.946707121116,30.046665628814,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,浙江省,30,浙江
474,2020-11-28 08:42:10,13685797063.0,身份证,13806529702,非营运,无责,未发现违法行为,140828200008121251,王浩,兰州市,兰路,119.722925055667,29.970534010657,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,山西省,22,浙江
475,2020-11-28 08:28:15,13868166941.0,身份证,13158446985,非营运,无责,未发现违法行为,532528196702212494,杨秀梅,邯郸县,赵路,120.005027425658,30.005436348585,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,云南省,55,四川
476,2020-11-28 08:00:27,nan,身份证,15988425977,非营运,全部,已处罚,370303196205127459,雷瑞,长沙县,呼和浩特街,nan,nan,普通路面,路口,城市道路,T字路口,nan,是,无,合法,山东省,60,浙江
477,2020-11-28 07:52:41,15868499298.0,身份证,15868499298,非营运,nan,nan,430528198602261532,凌凤英,建华县,何路,119.88262,30.11183,内部道路,nan,nan,nan,nan,nan,nan,合法,湖南省,36,浙江
478,2020-11-28 07:39:30,13706819827.0,身份证,13175012979,nan,无责,未发现违法行为,420700198603198590,王红霞,颖县,太原路,119.911642890762,30.049096788658,普通路面,路段,县道,nan,不在缺口上发生,否,nan,合法,湖北省,36,浙江
479,2020-11-28 07:28:45,13738191621.0,身份证,13738191621,非营运,无责,未发现违法行为,532900195702255858,张燕,齐齐哈尔县,陈街,119.981656724826,30.140570669637,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,云南省,65,浙江
480,2020-11-28 07:15:50,13805729269.0,身份证,18329117532,nan,无责,未发现违法行为,632822198603251712,陈秀梅,惠州县,刘路,119.891459,29.999518,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,青海省,36,浙江
481,2020-11-28 07:13:30,13067832774.0,身份证,13067832774,非营运,无责,未发现违法行为,222401196504151418,戴婷,贵阳县,曾路,119.93553,30.03159,普通路面,路口,省道,T字路口,nan,否,无,合法,吉林省,57,浙江
482,2020-11-28 06:56:53,13600523881.0,身份证,13600523881,nan,nan,nan,331121200008085661,王桂荣,哈尔滨县,太原路,119.990064738888,30.070760503022,普通路面,路段,国道,nan,不在缺口上发生,否,nan,合法,浙江省,22,浙江
483,2020-11-28 06:42:16,13777359634.0,身份证,15372436049,非营运,无责,未发现违法行为,431028199412126987,纪燕,丹丹县,重庆路,119.933013809359,30.061498941338,普通路面,路口,乡/村道,T字路口,nan,否,无,合法,湖南省,28,浙江
484,2020-11-28 03:17:57,18758215720.0,身份证,18758215720,非营运,全部,已处罚,520627201103155407,张桂荣,阜新县,潮州街,119.97838,30.13939,普通路面,路口,城市道路,T字路口,nan,否,无,合法,贵州省,11,不合法的电话号码
485,2020-11-28 01:09:52,18324434130.0,身份证,18814833122,非营运,无责,未发现违法行为,640205200308034791,冯利,西安市,沈阳街,119.942180274211,30.046808809816,普通路面,路段,城市道路,nan,不在缺口上发生,是,有,合法,宁夏回族自治区,19,浙江
486,2020-11-28 00:29:03,13738192767.0,身份证,13738192767,非营运,无责,未发现违法行为,152202199604074940,黄瑜,秀芳市,李路,nan,nan,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,内蒙古自治区,26,浙江
487,2020-11-27 22:17:55,13750879113.0,身份证,15988425999,非营运,无责,未发现违法行为,331122200009068659,杨秀梅,佛山县,天津街,119.929025901247,30.066255286885,普通路面,路口,城市道路,十字路口,nan,否,有,合法,浙江省,22,浙江
488,2020-11-27 22:05:28,18258294135.0,身份证,18258294135,非营运,无责,未发现违法行为,230300197506029240,吴文,婷市,丁路,119.968035056854,30.147380650366,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,黑龙江省,47,浙江
489,2020-11-27 21:53:28,17355808912.0,身份证,13575727723,非营运,全部,已处罚,653226199508158343,麦彬,上海县,柯路,nan,nan,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,新疆维吾尔自治区,27,浙江
490,2020-11-27 21:50:43,15858121131.0,身份证,13968183832,非营运,无法现场认定,未发现违法行为,371428199410165283,白桂英,林市,沈阳街,119.924077453995,30.064067561567,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,山东省,28,浙江
491,2020-11-27 21:50:36,18257170867.0,身份证,15868845431,nan,nan,nan,350300199505257694,霍燕,太原县,程街,119.92575,30.02332,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,福建省,27,浙江
492,2020-11-27 21:42:46,13958097850.0,身份证,18655259685,nan,无责,未发现违法行为,621224200407068125,路浩,洋市,傅街,120.061353324872,30.051384590042,普通路面,路口,国道,十字路口,nan,是,无,合法,甘肃省,18,安徽
493,2020-11-27 21:31:35,13456854894.0,身份证,13616816362,非营运,全部,已处罚,140722199912057690,李艳,荆门县,刘街,119.939810468804,30.058371761583,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,山西省,23,浙江
494,2020-11-27 21:25:07,13735580818.0,身份证,13735580818,非营运,nan,nan,421087199508117610,吴玉梅,霞县,沈阳街,119.92785,30.05015,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,湖北省,27,浙江
495,2020-11-27 21:25:05,18672419552.0,身份证,18672419552,非营运,无责,未发现违法行为,450403197304049660,刘晨,秀华市,黎街,119.949538929146,30.061699398138,普通路面,路段,县道,nan,不在缺口上发生,否,nan,合法,广西壮族自治区,49,湖北
496,2020-11-27 21:18:20,nan,身份证,13735866708,非营运,无责,未发现违法行为,360822200003127817,马凤兰,宇县,雷街,119.737021,29.894538,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,江西省,22,浙江
497,2020-11-27 20:51:18,15957199755.0,身份证,15957199755,非营运,无法现场认定,未发现违法行为,330106197003167300,刘宁,贵阳市,宜都街,119.89817425112,30.11121848874,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,浙江省,52,浙江
498,2020-11-27 20:46:45,13675850949.0,身份证,18906509968,非营运,nan,nan,530622200110253940,金梅,玉梅县,六盘水路,119.928146591386,30.012846022903,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,云南省,21,浙江
499,2020-11-27 20:34:21,15240110333.0,身份证,15240110333,nan,nan,nan,520523201108253945,范刚,平县,长春路,119.990933024833,30.146509673568,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,贵州省,11,安徽
500,2020-11-27 19:58:50,15267072720.0,身份证,13735588089,非营运,无责,未发现违法行为,440902198903167099,黄平,桂香市,合肥街,119.907417164605,30.102754520652,普通路面,路段,县道,nan,不在缺口上发生,否,无,合法,广东省,33,浙江
501,2020-11-27 19:37:28,15990095525.0,身份证,15990095525,非营运,无责,未发现违法行为,500118200608035601,周洁,佛山市,梁路,120.000142787286,30.079815748907,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,重庆市,16,浙江
502,2020-11-27 19:32:23,15381085339.0,身份证,15381085330,非营运,无责,未发现违法行为,421381200006044371,朱秀华,深圳县,宁德路,119.93895413592,30.060616377064,普通路面,路段,国道,nan,不在缺口上发生,否,nan,合法,湖北省,22,浙江
503,2020-11-27 19:30:30,13136230013.0,身份证,13136230013,非营运,nan,nan,41010519880604488X,张健,玉市,周街,nan,nan,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,河南省,34,浙江
504,2020-11-27 19:21:26,13362195658.0,身份证,13362195658,非营运,nan,nan,321202199612175021,郑桂兰,玉县,王街,119.924477356565,30.022282821692,普通路面,路段,乡/村道,nan,不在缺口上发生,否,nan,合法,江苏省,26,浙江
505,2020-11-27 19:17:37,nan,身份证,13235717858,nan,无法现场认定,未发现违法行为,361128200304054026,孟畅,琳县,潘路,119.933670003282,30.068560005249,普通路面,路段,城市道路,nan,路边缺口,是,无,合法,江西省,19,浙江
506,2020-11-27 19:17:36,13968196796.0,身份证,13666636988,非营运,无责,未发现违法行为,130631199411175751,胡建国,婷县,杨街,119.94854,30.05594,普通路面,路段,城市道路,nan,路边缺口,否,nan,合法,河北省,28,浙江
507,2020-11-27 18:45:15,nan,身份证,15068107184,非营运,无责,未发现违法行为,511823200001144520,左英,海门县,费街,119.939956527517,30.05672398896,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,四川省,22,浙江
508,2020-11-27 18:34:25,15057191481.0,身份证,15824133186,客运网约车,无责,未发现违法行为,37048119950516249X,刘璐,宜都县,邓街,119.938222161578,30.062244503269,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,山东省,27,浙江
509,2020-11-27 18:33:59,13968181667.0,身份证,18329020656,非营运,无责,未发现违法行为,152202199601237863,杨阳,华县,南京街,119.926302678867,30.019563364024,普通路面,路口,城市道路,环岛,nan,否,无,合法,内蒙古自治区,26,浙江
510,2020-11-27 18:31:29,13868182698.0,身份证,18968017600,非营运,无法现场认定,未发现违法行为,421303200003047519,谢丽娟,淑英市,李路,120.050830881726,30.083089080574,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,湖北省,22,浙江
511,2020-11-27 18:25:39,13666657279.0,身份证,13666657276,非营运,全部,已处罚,331003199809258872,沈玉梅,海口县,许路,119.86554,29.95583,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,浙江省,24,浙江
512,2020-11-27 18:10:16,13868185918.0,身份证,13868185918,非营运,无责,未发现违法行为,350124198704193780,陈淑珍,颖县,郑州路,119.73312,29.96672,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,福建省,35,浙江
513,2020-11-27 18:07:25,15258177752.0,身份证,18158432030,nan,无责,未发现违法行为,350111199506024647,陈畅,雷市,王街,nan,nan,普通路面,路口,城市道路,十字路口,nan,否,有,合法,福建省,27,不合法的电话号码
514,2020-11-27 18:02:13,15158128746.0,身份证,15158128746,nan,无责,未发现违法行为,152502198301242101,黄兰英,合山县,周路,119.8952250284,30.04823335885,普通路面,路段,国道,nan,不在缺口上发生,否,nan,合法,内蒙古自治区,39,浙江
515,2020-11-27 18:02:06,15990119791.0,身份证,17367068794,nan,次要,未发现违法行为,632821196207093278,蔡雪,银川市,詹路,119.981000695618,30.001650769445,普通路面,路段,城市道路,nan,不在缺口上发生,否,有,合法,青海省,60,不合法的电话号码
516,2020-11-27 17:51:27,nan,身份证,15345886993,客运出租车,nan,nan,211223198410128907,郭桂香,银川市,南京路,119.920503539366,30.058160163985,普通路面,路口,城市道路,T字路口,nan,否,无,合法,辽宁省,38,浙江
517,2020-11-27 17:47:21,17806918590.0,身份证,17806918590,nan,nan,nan,654028200103035669,赵淑英,春梅县,程路,119.935569,30.056034,普通路面,路段,省道,nan,不在缺口上发生,否,无,合法,新疆维吾尔自治区,21,不合法的电话号码
518,2020-11-27 17:46:52,15068867686.0,身份证,15068867686,非营运,全部,已处罚,411500199812171485,刘帅,北京市,杨路,119.606343792711,30.038150639113,普通路面,路口,乡/村道,T字路口,nan,否,无,合法,河南省,24,浙江
519,2020-11-27 17:41:31,18268157098.0,身份证,15968128406,非营运,无责,未发现违法行为,330723198509276815,汪玉兰,荆门市,程路,120.00707,29.89201,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,浙江省,37,浙江
520,2020-11-27 17:39:04,18958176786.0,身份证,18958176786,非营运,无责,未发现违法行为,445202199101166482,李娟,石家庄市,邓街,119.95289,30.03515,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,广东省,31,浙江
521,2020-11-27 17:38:59,15397018202.0,身份证,15867175903,nan,nan,nan,320205200012169940,李红梅,银川县,哈尔滨街,119.944372078167,30.067231484565,普通路面,路段,县道,nan,不在缺口上发生,否,无,合法,江苏省,22,浙江
522,2020-11-27 17:37:54,15067126361.0,身份证,15067126311,非营运,次要,已处罚,130426199301189843,陈岩,乌鲁木齐市,北京街,119.91064,30.00565,普通路面,路口,乡/村道,T字路口,nan,否,无,合法,河北省,29,浙江
523,2020-11-27 17:37:36,15958161092.0,身份证,15958161092,非营运,nan,nan,430400197309195277,彭桂荣,武汉市,符街,120.039905089973,30.085497317034,普通路面,路段,城市道路,nan,路边缺口,是,无,合法,湖南省,49,浙江
524,2020-11-27 17:35:52,18329161610.0,身份证,13362111657,nan,无责,未发现违法行为,130607201510135253,李玉,嘉禾市,孙街,119.936830855523,30.014731432891,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,河北省,7,浙江
525,2020-11-27 17:27:47,13606816004.0,身份证,13606816004,非营运,次要,已处罚,222403198707074290,罗燕,彬市,宁德路,119.987194035291,30.070071808842,普通路面,路口,乡/村道,T字路口,nan,否,无,合法,吉林省,35,浙江
526,2020-11-27 17:27:12,18758140025.0,身份证,18758140025,非营运,nan,nan,520521201106176023,温桂荣,平市,程路,119.937712436857,30.07710022556,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,贵州省,11,不合法的电话号码
527,2020-11-27 17:27:02,13567143280.0,身份证,13567143280,nan,无责,未发现违法行为,410526198605077275,曹桂荣,银川县,黄路,119.936668476332,30.046751238582,普通路面,路段,县道,nan,不在缺口上发生,否,nan,合法,河南省,36,浙江
528,2020-11-27 17:23:06,18258860593.0,身份证,18258860593,非营运,无责,未发现违法行为,441523198809188249,李淑兰,凤兰市,邓街,119.937552653878,30.076053809048,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,广东省,34,浙江
529,2020-11-27 17:22:14,13968162230.0,身份证,13968162230,非营运,无责,未发现违法行为,141081200012197944,王桂香,柳州县,宜都街,119.976474559043,30.022086816489,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,山西省,22,浙江
530,2020-11-27 17:18:11,15384061367.0,身份证,13706503675,nan,无法现场认定,未发现违法行为,360313195701193558,刘楠,香港市,石家庄街,119.913099122685,30.049387542785,普通路面,路口,城市道路,十字路口,nan,是,有,合法,江西省,65,浙江
531,2020-11-27 17:14:04,15924149151.0,身份证,18768489202,非营运,全部,已处罚,152525198201156809,仇丽丽,宜都市,六盘水街,120.062285260314,30.076548378003,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,内蒙古自治区,40,不合法的电话号码
532,2020-11-27 17:13:26,18268153582.0,身份证,18268153582,非营运,nan,nan,140828200008246169,董斌,鹏县,柳州街,119.919673985261,30.050510442351,内部道路,nan,nan,nan,nan,nan,nan,合法,山西省,22,浙江
533,2020-11-27 17:08:19,13868163895.0,身份证,13968167738,nan,nan,nan,410421198303246814,林丹,峰县,兴城街,nan,nan,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,河南省,39,浙江
534,2020-11-27 17:06:09,18268035574.0,身份证,18268035574,非营运,nan,nan,510131198309074291,黄楠,淑英县,香港街,119.936935286399,30.079721936846,内部道路,nan,nan,nan,nan,nan,nan,合法,四川省,39,浙江
535,2020-11-27 17:05:56,nan,身份证,13065737838,非营运,无法现场认定,未发现违法行为,152921196704049316,吴海燕,金凤县,淮安路,119.96124,30.02385,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,内蒙古自治区,55,浙江
536,2020-11-27 17:00:37,nan,身份证,18258189864,客运网约车,无责,未发现违法行为,230803198308042218,何莹,玉华县,郑路,120.019346585758,30.015298341298,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,黑龙江省,39,浙江
537,2020-11-27 16:52:26,15267089919.0,身份证,15968855456,非营运,无责,未发现违法行为,511822200007172286,鄢健,马鞍山市,北镇路,119.982944603635,30.064239120394,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,四川省,22,浙江
538,2020-11-27 16:48:36,13706817555.0,身份证,18758597997,nan,无责,未发现违法行为,530627200105017371,陈秀荣,西安县,季路,119.736021579351,29.969959372108,普通路面,路段,乡/村道,nan,不在缺口上发生,否,nan,合法,云南省,21,不合法的电话号码
539,2020-11-27 16:47:41,13173635573.0,身份证,13777358082,非营运,无责,未发现违法行为,451425200201245494,周瑜,哈尔滨县,郑州街,119.979086073425,30.021057349425,普通路面,路口,县道,T字路口,nan,否,无,合法,广西壮族自治区,20,浙江
540,2020-11-27 16:33:28,15088790730.0,身份证,15088790730,nan,nan,nan,341126199211117495,曹超,建国市,合山街,119.923146110516,30.04723502702,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,安徽省,30,浙江
541,2020-11-27 16:33:01,13521832291.0,身份证,15585358215,nan,无责,已处罚,411624200002244621,谢红霞,沈阳市,尹路,120.030458139082,30.023350653546,普通路面,路口,省道,T字路口,nan,否,无,合法,河南省,22,不合法的电话号码
542,2020-11-27 16:28:36,nan,身份证,13588398522,非营运,无责,未发现违法行为,540237201406041452,王静,贵阳县,全路,119.984384503739,30.112408989528,普通路面,路段,县道,nan,不在缺口上发生,否,nan,合法,西藏自治区,8,浙江
543,2020-11-27 16:22:39,13615812120.0,身份证,13615812120,非营运,无责,未发现违法行为,13080219830524691X,杨丽丽,亮市,兰街,119.911063369179,30.045793592754,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,河北省,39,浙江
544,2020-11-27 16:15:56,18368890138.0,身份证,13516723128,nan,无责,未发现违法行为,610925200006189454,邵华,莹县,郑州路,nan,nan,普通路面,路段,乡/村道,nan,不在缺口上发生,否,nan,合法,陕西省,22,浙江
545,2020-11-27 16:08:09,18658151777.0,身份证,18658151777,非营运,nan,nan,511002198512089636,邹淑英,嘉禾县,张街,119.934565021365,30.058664651978,内部道路,nan,nan,nan,nan,nan,nan,合法,四川省,37,浙江
546,2020-11-27 16:01:52,13968183818.0,身份证,13968183818,非营运,无责,未发现违法行为,152921195606146302,孙秀华,桂英县,宁德路,119.916179722861,30.063655525332,普通路面,路段,乡/村道,nan,中央缺口,否,无,合法,内蒙古自治区,66,浙江
547,2020-11-27 16:01:42,13567133963.0,身份证,13567133963,非营运,nan,nan,620402198707036282,韦彬,荣市,林街,119.94967,30.05926,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,甘肃省,35,浙江
548,2020-11-27 15:51:54,13819109164.0,身份证,13819109164,非营运,nan,nan,659010201903141019,钟静,合肥市,兴城街,119.934551415256,30.043557760718,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,新疆维吾尔自治区,3,浙江
549,2020-11-27 15:43:23,15355071910.0,身份证,15355071910,nan,全部,已处罚,620922200608023593,王桂珍,柳县,广州路,nan,nan,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,甘肃省,16,浙江
550,2020-11-27 15:34:52,13456955045.0,身份证,13456955045,非营运,无责,未发现违法行为,640202195104276462,蒋桂花,兴安盟市,黄街,119.721355609141,29.973525961129,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,宁夏回族自治区,71,浙江
551,2020-11-27 15:32:53,13675881172.0,身份证,13675881172,非营运,次要,已处罚,340311200409173821,陈丽,南宁县,吴街,119.912060003503,30.052155174182,普通路面,路口,城市道路,十字路口,nan,是,有,合法,安徽省,18,浙江
552,2020-11-27 15:17:20,13336102907.0,身份证,13588062616,非营运,全部,已处罚,53072220020602104X,郑杨,上海市,谭街,119.948973605325,30.049643526033,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,云南省,20,浙江
553,2020-11-27 15:09:29,13216103510.0,身份证,15558022865,nan,无责,未发现违法行为,360827200003166279,郭桂荣,健县,刘街,119.934347977623,30.053607763645,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,江西省,22,不合法的电话号码
554,2020-11-27 15:06:17,13567140080.0,身份证,13567140080,非营运,nan,nan,51182220000704783X,彭秀云,马鞍山市,龙路,119.936486109658,30.062114944513,内部道路,nan,nan,nan,nan,nan,nan,合法,四川省,22,浙江
555,2020-11-27 14:42:21,nan,身份证,15168444813,非营运,无法现场认定,未发现违法行为,360104199705226717,孔斌,云县,东莞街,119.917621149297,30.10967362118,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,江西省,25,浙江
556,2020-11-27 14:36:51,15336529018.0,身份证,15336529018,非营运,nan,nan,532300196610056853,邓杨,贵阳市,朱街,119.896245253985,30.047994280346,普通路面,路口,城市道路,十字路口,nan,否,有,合法,云南省,56,浙江
557,2020-11-27 14:26:12,nan,身份证,13858137344,非营运,全部,已处罚,140981200007115623,郭玲,太原市,李路,119.919846392342,30.050725806075,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,山西省,22,浙江
558,2020-11-27 14:16:42,15158831447.0,身份证,13071836080,非营运,无责,未发现违法行为,370781199507045939,吴建国,台北市,杭州街,119.927528,29.9109,普通路面,路段,国道,nan,不在缺口上发生,否,无,合法,山东省,27,浙江
